Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y
246.8581687612209,-0.007853403141361279,250.4488330341114,-0.026178010471204202,250.4488330341114,-0.08115183246073301,250.4488330341114,-0.21465968586387435,246.8581687612209,-0.5287958115183247
259.4254937163376,-0.0104712041884817,271.9928186714543,-0.028795811518324624,271.9928186714543,-0.07853403141361259,259.4254937163376,-0.2068062827225131,255.83482944344706,-0.5157068062827225
280.96947935368047,-0.013089005235602108,306.1041292639139,-0.031413612565445045,293.53680430879723,-0.07329842931937175,270.19748653500903,-0.20157068062827227,259.4254937163376,-0.5
302.5134649910234,-0.013089005235602108,327.6481149012568,-0.031413612565445045,316.87612208258537,-0.07329842931937175,280.96947935368047,-0.19633507853403143,263.0161579892281,-0.4895287958115183
334.82944344703776,-0.01570680628272253,354.5780969479354,-0.036649214659685875,340.21543985637345,-0.07329842931937175,297.12746858168765,-0.1884816753926702,266.60682226211856,-0.47382198952879584
367.1454219030521,-0.013089005235602122,379.7127468581688,-0.031413612565445045,359.96409335727117,-0.07329842931937175,322.26211849192106,-0.19109947643979058,268.4021543985638,-0.46335078534031415
397.6660682226212,-0.013089005235602108,406.64272890484744,-0.031413612565445045,385.0987432675045,-0.07329842931937175,336.62477558348303,-0.19633507853403143,273.7881508078995,-0.4502617801047121
431.7773788150808,-0.013089005235602108,442.5493716337523,-0.03403141361256545,410.2333931777379,-0.07591623036649217,363.5547576301616,-0.20418848167539272,279.17414721723526,-0.43717277486911
467.6840215439857,-0.013089005235602108,469.4793536804309,-0.031413612565445045,433.57271095152606,-0.08115183246073301,381.5080789946141,-0.2172774869109948,284.5601436265711,-0.42670157068062825
494.6140035906643,-0.0104712041884817,500,-0.036649214659685875,449.73070017953324,-0.08638743455497383,403.05206463195697,-0.22774869109947643,291.74147217235196,-0.41623036649214656
532.3159784560144,-0.01832460732984295,523.3393177737883,-0.041884816753926704,469.4793536804309,-0.09162303664921467,419.21005385996415,-0.23821989528795812,300.71813285457813,-0.4109947643979057
566.427289048474,-0.01570680628272253,550.2692998204668,-0.04712041884816756,491.02333931777383,-0.0942408376963351,437.16337522441654,-0.25392670157068065,311.4901256732496,-0.4083769633507854
616.6965888689408,-0.01832460732984295,577.1992818671454,-0.04712041884816756,516.1579892280072,-0.10471204188481678,449.73070017953324,-0.27225130890052357,318.6714542190306,-0.4083769633507854
663.3752244165171,-0.01570680628272253,600.5385996409336,-0.05235602094240839,537.7019748653502,-0.11256544502617802,465.8886894075404,-0.2879581151832461,327.6481149012568,-0.4083769633507854
719.0305206463195,-0.020942408376963373,618.4919210053858,-0.05759162303664922,561.0412926391382,-0.1230366492146597,483.8420107719928,-0.29581151832460734,334.82944344703776,-0.4109947643979057
763.9138240574507,-0.01832460732984295,641.8312387791741,-0.05759162303664922,591.5619389587075,-0.13089005235602094,500,-0.3089005235602095,342.0107719928187,-0.418848167539267
819.5691202872531,-0.020942408376963373,668.7612208258527,-0.05759162303664922,625.6732495511669,-0.13612565445026178,517.9533213644524,-0.3219895287958115,352.78276481149015,-0.4293193717277487
866.2477558348294,-0.020942408376963373,697.4865350089767,-0.06020942408376964,649.0125673249552,-0.14397905759162302,534.1113105924596,-0.33507853403141363,361.75942549371644,-0.4450261780104712
911.1310592459604,-0.01570680628272253,720.8258527827647,-0.06544502617801048,674.1472172351885,-0.1492146596858639,550.2692998204668,-0.3429319371727749,368.94075403949734,-0.45287958115183247
979.3536804308796,-0.01570680628272253,747.7558348294435,-0.06544502617801048,701.0771992818673,-0.15445026178010474,575.4039497307001,-0.35602094240837695,379.7127468581688,-0.46858638743455505
1029.6229802513465,-0.015706806282722544,776.4811490125674,-0.07068062827225133,728.0071813285458,-0.15445026178010474,600.5385996409336,-0.36387434554973824,388.689407540395,-0.481675392670157
1078.096947935368,-0.013089005235602108,807.0017953321365,-0.07198952879581152,751.3464991023338,-0.15706806282722516,634.6499102333933,-0.3795811518324607,397.6660682226212,-0.4921465968586387
1137.342908438061,-0.0104712041884817,839.3177737881508,-0.07329842931937175,774.6858168761221,-0.15968586387434555,677.737881508079,-0.3900523560209424,404.84739676840223,-0.5052356020942409
1210.951526032316,-0.005235602094240857,873.4290843806104,-0.07329842931937175,796.2298025134651,-0.16230366492146597,708.2585278276481,-0.3979057591623037,412.02872531418313,-0.5235602094240838
1277.37881508079,0.002617801047120401,898.5637342908437,-0.07591623036649217,823.1597845601436,-0.16623036649214662,754.9371633752244,-0.4109947643979057,422.8007181328546,-0.5418848167539266
1327.6481149012568,0.007853403141361237,929.0843806104128,-0.07591623036649217,851.8850987432675,-0.17015706806282724,785.4578096947935,-0.41623036649214656,431.7773788150808,-0.5549738219895288
1385.0987432675045,0.011780104712041876,959.6050269299819,-0.07591623036649217,869.8384201077199,-0.17408376963350788,823.1597845601436,-0.4214659685863874,442.5493716337523,-0.5732984293193717
1419.210053859964,0.018324607329842917,1000.8976660682226,-0.08115183246073301,894.9730700179532,-0.17801047120418848,862.6570915619388,-0.43455497382198954,451.52603231597845,-0.5916230366492147
1460.5026929982048,0.023560209424083753,1029.6229802513465,-0.08115183246073301,920.1077199281867,-0.17801047120418848,733.3931777378816,-0.40314136125654454,465.8886894075404,-0.6112565445026177
1503.5906642728903,0.026178010471204168,1060.1436265709156,-0.08115183246073301,945.24236983842,-0.18324607329842932,693.8958707360862,-0.39528795811518325,482.04667863554766,-0.6335078534031414
1537.70197486535,0.02879581151832459,1081.6876122082585,-0.07853403141361259,970.3770197486533,-0.1884816753926702,656.193895870736,-0.38481675392670156,494.6140035906643,-0.6492146596858639
1575.4039497307,0.03534031413612563,1108.617594254937,-0.08115183246073301,997.3070017953321,-0.19109947643979058,618.4919210053858,-0.3717277486910995,508.97666068222617,-0.6701570680628272
1623.8779174147217,0.03926701570680627,1135.5475763016157,-0.07853403141361259,1033.213644524237,-0.19633507853403143,887.7917414721724,-0.4397905759162304,526.9299820466786,-0.6806282722513088
1670.556552962298,0.04712041884816752,1157.0915619389586,-0.07853403141361259,1065.5296229802514,-0.19633507853403143,909.3357271095151,-0.4424083769633508,539.4973070017954,-0.6989528795811518
1692.100538599641,0.04973821989528794,1176.8402154398564,-0.07853403141361259,1097.8456014362657,-0.19895287958115182,927.2890484739678,-0.44633507853403154,555.6552962298024,-0.7081151832460733
,,1203.770197486535,-0.07591623036649217,1133.7522441651706,-0.2068062827225131,952.4236983842011,-0.45287958115183247,571.8132854578098,-0.7146596858638743
,,1228.9048473967682,-0.07591623036649217,1175.044883303411,-0.2094240837696335,981.1490125673249,-0.46073298429319376,582.5852782764812,-0.7172774869109948
,,1248.653500897666,-0.07329842931937175,1198.3842010771994,-0.2094240837696335,1004.4883303411129,-0.46596858638743455,596.9479353680431,-0.7225130890052355
,,1282.7648114901256,-0.07068062827225133,1223.5188509874326,-0.21204188481675396,1027.8276481149014,-0.47120418848167545,609.5152603231597,-0.7264397905759161
,,1307.8994614003589,-0.0680628272251309,1255.834829443447,-0.21204188481675396,1054.75763016158,-0.4790575916230366,623.8779174147217,-0.7277486910994764
,,1334.8294434470376,-0.06544502617801048,1284.5601436265708,-0.21465968586387435,1083.4829443447038,-0.481675392670157,641.8312387791741,-0.7329842931937173
,,1358.168761220826,-0.06282722513089008,1311.4901256732496,-0.2172774869109948,1106.822262118492,-0.4869109947643979,657.9892280071813,-0.7382198952879581
,,1381.508078994614,-0.06020942408376964,1343.8061041292638,-0.2198952879581152,1131.9569120287254,-0.4947643979057592,674.1472172351885,-0.743455497382199
,,1408.4380610412925,-0.05497382198952881,1376.1220825852781,-0.2198952879581152,1158.886894075404,-0.5026178010471204,697.4865350089767,-0.7539267015706806
,,1437.1633752244165,-0.05497382198952881,1412.028725314183,-0.22251308900523564,1184.0215439856372,-0.5078534031413612,717.2351885098744,-0.7617801047120418
,,1467.6840215439854,-0.04973821989528797,1451.5260323159785,-0.2198952879581152,1203.770197486535,-0.5130890052356021,738.7791741472172,-0.7696335078534032
,,1498.2046678635547,-0.04450261780104714,1491.0233393177737,-0.2198952879581152,1225.314183123878,-0.5183246073298429,753.1418312387791,-0.7774869109947644
,,1523.339317773788,-0.03926701570680631,1519.7486535008977,-0.2198952879581152,1245.0628366247756,-0.5235602094240838,772.8904847396768,-0.7853403141361256
,,1555.6552962298024,-0.036649214659685875,1548.4739676840213,-0.2172774869109948,1268.4021543985637,-0.5314136125654452,794.4344703770198,-0.7931937172774869
