Au,,Pd014,,Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
344.3438914027149,1.8426501035196665,308.1447963800905,1.8219461697722554,1687.3303167420813,7.7018633540372665,1685.52036199095,7.391304347826087,1685.52036199095,7.0600414078674945,1685.52036199095,7.246376811594202,1685.52036199095,7.660455486542443
250.22624434389138,1.6356107660455468,331.67420814479635,1.9254658385093144,1672.8506787330316,7.639751552795031,1658.3710407239819,7.287784679089026,1667.420814479638,6.9979296066252585,1665.6108597285067,7.163561076604554,1667.420814479638,7.619047619047619
291.8552036199095,1.7391304347826075,351.58371040723983,2.008281573498964,1658.3710407239819,7.577639751552795,1634.841628959276,7.163561076604554,1640.2714932126696,6.91511387163561,1634.841628959276,7.080745341614906,1633.0316742081448,7.494824016563147
364.25339366515834,1.8426501035196665,366.06334841628956,2.091097308488612,1642.0814479638009,7.494824016563147,1600.4524886877828,7.0393374741200825,1622.1719457013573,6.832298136645963,1609.502262443439,6.9979296066252585,1598.6425339366515,7.349896480331263
378.7330316742081,1.8633540372670794,382.3529411764706,2.153209109730847,1620.361990950226,7.412008281573499,1575.1131221719454,6.91511387163561,1591.4027149321266,6.728778467908902,1576.9230769230767,6.873706004140787,1569.6832579185518,7.225672877846791
395.0226244343891,1.8840579710144905,402.26244343891403,2.1946169772256727,1598.6425339366515,7.287784679089026,1546.1538461538462,6.790890269151139,1564.2533936651582,6.645962732919254,1395.9276018099547,6.231884057971015,1538.9140271493213,7.12215320910973
413.1221719457014,1.9254658385093144,423.9819004524887,2.2360248447204967,1580.5429864253392,7.194616977225673,1517.1945701357465,6.666666666666666,1538.9140271493213,6.563146997929606,1441.1764705882354,6.4182194616977215,1495.475113122172,6.956521739130435
431.22171945701353,1.9254658385093144,443.8914027149321,2.2981366459627317,1558.8235294117646,7.12215320910973,1468.3257918552035,6.501035196687369,1504.5248868778278,6.4182194616977215,1475.5656108597284,6.542443064182194,1466.5158371040723,6.832298136645963
445.7013574660633,1.8633540372670794,467.420814479638,2.3602484472049667,1533.4841628959275,6.9979296066252585,1430.316742081448,6.3146997929606625,1477.3755656108597,6.3354037267080745,1531.6742081447962,6.728778467908902,1442.9864253393664,6.749482401656314
460.1809954751131,1.8012422360248426,487.33031674208144,2.4223602484472035,1506.334841628959,6.853002070393375,1397.737556561086,6.169772256728778,1459.2760180995474,6.2939958592132506,1345.2488687782804,6.107660455486542,1418.5520361990946,6.666666666666666
478.2805429864253,1.7184265010351947,505.4298642533936,2.4844720496894386,1475.5656108597284,6.70807453416149,1376.0180995475112,6.045548654244306,1419.4570135746606,6.128364389233954,1312.6696832579185,5.98343685300207,1397.737556561086,6.583850931677018
490.95022624434387,1.7184265010351947,523.5294117647059,2.5879917184264993,1448.41628959276,6.583850931677018,1343.4389140271492,5.900621118012421,1372.3981900452488,5.942028985507245,1281.9004524886877,5.859213250517597,1368.7782805429863,6.4596273291925455
469.2307692307692,1.7494824016563122,547.0588235294117,2.753623188405795,1417.6470588235293,6.4182194616977215,1310.8597285067874,5.7763975155279494,1321.7194570135746,5.7763975155279494,1252.941176470588,5.7556935817805375,1343.4389140271492,6.3768115942028984
498.1900452488688,1.7598343685300186,563.3484162895927,2.8778467908902687,1385.0678733031673,6.273291925465839,1280.0904977375565,5.6521739130434785,1267.420814479638,5.590062111801242,1229.4117647058822,5.6728778467908905,1314.4796380090497,6.273291925465839
505.4298642533936,1.8219461697722554,583.2579185520361,2.9813664596273277,1352.4886877828053,6.149068322981366,1242.0814479638007,5.507246376811594,990.4977375565611,4.679089026915113,1195.0226244343892,5.590062111801242,1278.2805429864252,6.128364389233954
510.8597285067873,1.8840579710144905,597.737556561086,3.1055900621117996,1319.9095022624435,5.962732919254657,1214.9321266968325,5.383022774327121,1028.5067873303167,4.803312629399585,1164.2533936651582,5.486542443064182,1251.1312217194568,6.024844720496894
518.0995475113123,1.9668737060041401,626.6968325791854,3.2712215320910953,1290.9502262443439,5.797101449275361,1185.972850678733,5.300207039337473,1070.1357466063348,4.906832298136646,1119.0045248868778,5.341614906832297,1227.601809954751,5.942028985507245
523.5294117647059,2.049689440993788,657.4660633484161,3.478260869565217,1263.8009049773755,5.693581780538302,1153.393665158371,5.1552795031055885,1113.574660633484,5.031055900621117,1079.185520361991,5.196687370600413,1196.8325791855204,5.817805383022773
528.9592760180996,2.132505175983436,682.8054298642535,3.6438923395445126,1245.7013574660632,5.631469979296066,1124.4343891402714,5.031055900621117,948.868778280543,4.513457556935816,1042.9864253393664,5.072463768115941,1158.8235294117646,5.693581780538302
534.3891402714931,2.215320910973084,717.1945701357465,3.8302277432712195,1214.9321266968325,5.507246376811594,1099.0950226244343,4.94824016563147,903.6199095022623,4.368530020703933,1003.1674208144796,4.94824016563147,1124.4343891402714,5.56935817805383
538.9140271493212,2.2981366459627317,740.7239819004524,3.975155279503104,1195.0226244343892,5.424430641821946,1075.5656108597286,4.865424430641822,872.8506787330316,4.244306418219461,976.0180995475114,4.84472049689441,1099.0950226244343,5.46583850931677
545.2488687782804,2.3809523809523796,762.4434389140272,4.120082815734989,1173.3031674208144,5.320910973084885,1050.2262443438915,4.782608695652173,842.0814479638009,4.120082815734989,957.9185520361991,4.782608695652173,1075.5656108597286,5.383022774327121
550.6787330316743,2.4844720496894386,787.7828054298643,4.265010351966874,1153.393665158371,5.238095238095237,1026.6968325791854,4.679089026915113,809.5022624434389,4.037267080745341,925.3393665158371,4.658385093167701,1044.7963800904977,5.258799171842649
