Au,,Pd014,,Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
254.41547518923463,1.4574638844301764,370.4793944491169,1.5024077046548951,705.214465937763,1.9582664526484748,249.36921783010933,1.341894060995184,308.242220353238,1.515248796147672,357.0227081581161,1.6115569823434988,251.05130361648443,1.2776886035312995
262.82590412111017,1.4767255216693416,360.38687973086627,1.4767255216693416,671.5727502102607,1.9582664526484748,271.2363330529857,1.3611556982343496,279.6467619848612,1.4253611556982335,338.5197645079899,1.5345104333868371,267.8721614802355,1.284109149277688
271.2363330529857,1.5345104333868371,346.93019343986543,1.4574638844301764,648.0235492010092,1.9518459069020864,298.1497056349874,1.4060995184590688,252.73338940285953,1.367576243980738,320.01682085786376,1.4767255216693416,283.01093355761145,1.309791332263242
277.96467619848613,1.5922953451043336,330.1093355761144,1.4638844301765643,616.0639192598821,1.9261637239165323,318.33473507148864,1.4638844301765643,294.78553406223716,1.4767255216693416,304.8780487804878,1.4446227929373991,296.46761984861223,1.3290529695024071
284.6930193439865,1.6436597110754407,304.8780487804878,1.48314606741573,579.05803195963,1.9133226324237556,340.201850294365,1.5216693418940603,316.6526492851135,1.5601926163723912,288.0571909167368,1.4060995184590688,309.9243061396131,1.3547351524879607
294.78553406223716,1.6886035313001604,316.6526492851135,1.4767255216693416,537.0058873002524,1.8747993579454247,367.1152228763667,1.5922953451043336,335.1555929352397,1.6179775280898876,272.9184188393608,1.367576243980738,323.38099243061396,1.3804173354735148
304.8780487804878,1.7335473515248792,299.8317914213625,1.4767255216693416,488.2253994953743,1.829855537720706,388.98233809924307,1.6565008025682175,357.0227081581161,1.6886035313001604,254.41547518923463,1.3226324237560187,338.5197645079899,1.4060995184590688
316.6526492851135,1.7656500802568211,293.1034482758621,1.4638844301765643,513.4566862910008,1.8555377207062596,420.94196804037006,1.7078651685393256,377.20773759461736,1.746388443017656,377.20773759461736,1.6693418940609948,353.6585365853658,1.4510433386837875
325.0630782169891,1.7977528089887636,288.0571909167368,1.4446227929373991,447.8553406223717,1.77207062600321,446.17325483599666,1.7656500802568211,397.3927670311186,1.7977528089887636,394.0285954583684,1.7078651685393256,365.4331370899916,1.4959871589085072
336.8376787216148,1.804173354735152,283.01093355761145,1.4317817014446224,414.21362489486967,1.714285714285714,469.72245584524813,1.804173354735152,420.94196804037006,1.8619582664526484,414.21362489486967,1.746388443017656,375.5256518082422,1.5473515248796144
345.24810765349037,1.7977528089887636,276.282590412111,1.4125200642054567,382.2539949537427,1.6693418940609948,508.4104289318755,1.8555377207062596,442.8090832632464,1.9133226324237556,441.12699747687134,1.804173354735152,392.34650967199326,1.5794542536115568
355.34062237174095,1.77207062600321,269.5542472666106,1.4028892455858744,363.7510513036165,1.5794542536115568,545.4163162321279,1.9004815409309788,462.9941126997477,1.9518459069020864,462.9941126997477,1.8491171749598716,404.121110176619,1.598715890850722
362.06896551724134,1.7528089887640443,262.82590412111017,1.393258426966292,345.24810765349037,1.508828250401284,597.560975609756,1.9518459069020864,486.5433137089992,1.9967897271268051,486.5433137089992,1.8940609951845904,420.94196804037006,1.6179775280898876
420.94196804037006,1.6757624398073832,256.0975609756098,1.3868378812199036,326.74516400336415,1.4638844301765643,636.2489486963836,1.9903691813804172,511.77460050462577,2.041733547351525,515.138772077376,1.9325842696629212,437.76282590412114,1.6436597110754407
397.3927670311186,1.6757624398073832,382.2539949537427,1.515248796147672,311.6063919259882,1.4767255216693416,669.8906644238857,2.022471910112359,535.3238015138772,2.0802568218298556,545.4163162321279,1.971107544141252,452.90159798149705,1.6757624398073832
380.5719091673675,1.6886035313001604,397.3927670311186,1.5280898876404492,299.8317914213625,1.4703049759229532,701.8502943650126,2.041733547351525,557.1909167367536,2.1187800963081855,577.3759461732548,2.009630818619582,468.04037005887307,1.6950240770465483
372.16148023549204,1.7207062600321024,407.4852817493692,1.5280898876404492,279.6467619848612,1.4253611556982335,750.6307821698906,2.0738362760834668,589.1505466778806,2.1573033707865163,607.6534903280067,2.0545746388443016,486.5433137089992,1.7207062600321024
425.9882253994954,1.6565008025682175,422.6240538267452,1.5216693418940603,269.55424726661056,1.39967897271268,792.6829268292684,2.0930979133226324,622.7922624053826,2.208667736757624,639.6131202691338,2.0995184590690203,506.72834314550045,1.7335473515248792
432.7165685449958,1.6308186195826644,439.4449116904962,1.508828250401284,257.77964676198485,1.3932584269662915,839.7813288477712,2.1123595505617976,653.0698065601346,2.2471910112359548,666.5264928511353,2.1316211878009628,525.2312867956266,1.7335473515248792
442.8090832632464,1.6115569823434988,461.31202691337256,1.4895666131621184,249.36921783010933,1.3804173354735148,895.2901597981497,2.1316211878009628,683.3473507148865,2.292134831460674,693.4398654331371,2.170144462279293,547.098402018503,1.7592295345104332
451.219512195122,1.573033707865168,478.13288477712365,1.4446227929373991,737.1740958788898,1.9582664526484748,945.7527333894029,2.1508828250401284,713.6248948696384,2.324237560192616,727.0815811606392,2.215088282504013,568.9655172413793,1.7592295345104332
454.5836837678722,1.5280898876404492,496.6358284272498,1.3739967897271264,769.1337258200169,1.9646869983948632,997.8973927670313,2.163723916532905,747.2666105971405,2.362760834670947,755.6770395290159,2.253611556982343,590.8326324642558,1.7784911717495984
459.6299411269975,1.4895666131621184,510.09251471825064,1.3226324237560187,791.0008410428932,1.9582664526484748,1038.2674516400336,2.176565008025682,774.1799831791423,2.394863563402889,787.636669470143,2.292134831460674,621.1101766190075,1.804173354735152
