Au,,Pd014,,Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
395.62890276538803,1.9222903885480545,723.9072256913471,3.865030674846624,1689.1168599464763,7.770961145194272,251.11507582515614,1.492842535787318,251.11507582515614,1.6973415132924305,1685.5486173059767,6.605316973415131,252.8991971454059,1.1860940695296502
363.51471900089206,1.860940695296522,684.6565566458519,3.640081799591,1660.57091882248,7.607361963190182,267.1721677074041,1.635991820040898,265.3880463871543,1.7995910020449877,1653.4344335414808,6.503067484662575,260.03568242640506,1.2474437627811845
333.18465655664585,1.8404907975460105,654.3264942016057,3.456032719836399,1635.593220338983,7.484662576687115,260.03568242640506,1.5950920245398752,279.66101694915255,1.901840490797543,1621.3202497769848,6.400817995910019,270.74041034790366,1.3496932515337399
304.6387154326494,1.8813905930470334,627.564674397859,3.271983640081798,1607.0472792149867,7.382413087934559,276.092774308653,1.6973415132924305,301.07047279214987,2.0040899795501,1587.4219446922389,6.319018404907974,285.0133809099019,1.4314928425357856
251.11507582515614,1.6564417177914095,588.3140053523639,2.9856850715746397,1560.6601248884922,7.157464212678935,292.149866190901,1.7791411042944762,324.264049955397,2.1472392638036784,1555.3077609277432,6.216768916155417,302.85459411239964,1.5541922290388523
286.7975022301516,1.8404907975460105,533.0062444246208,2.597137014314926,1517.8412132024978,6.9529652351738225,308.20695807314894,1.860940695296522,352.8099910793934,2.2903885480572583,1526.7618198037467,6.114519427402861,315.3434433541481,1.6155419222903866
417.03835860838535,1.9427402862985677,486.61909009812666,2.372188139059304,1473.2381801962533,6.74846625766871,318.91168599464766,1.9427402862985677,377.78768956289025,2.372188139059304,1500,6.012269938650305,331.4005352363961,1.6973415132924305
433.09545049063337,1.9222903885480545,445.5842997323818,2.3108384458077698,1441.1239964317574,6.58486707566462,340.321141837645,2.044989775051123,404.5495093666369,2.4744376278118576,1475.0223015165031,5.93047034764826,345.6735057983943,1.7995910020449877
450.93666369313115,1.860940695296522,397.4130240856378,2.188139059304701,1407.2256913470114,6.400817995910019,361.7305976806423,2.126789366053167,429.52720785013383,2.5562372188139033,1453.6128456735057,5.889570552147238,361.7305976806423,1.8813905930470334
