Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y
248.6818980667838,0.004154302670623056,248.6818980667838,0.014836795252225449,250.43936731107203,0.03620178041543021,246.92442882249554,0.0908011869436201,248.6818980667838,0.17744807121661713
255.7117750439367,0.004154302670623111,271.5289982425307,0.012462908011869361,262.7416520210896,0.026706231454005858,255.7117750439367,0.08130563798219578,253.95430579964847,0.1703264094955489
269.7715289982425,0.004154302670623056,317.22319859402455,0.005341246290801099,280.31634446397186,0.02077151335311564,268.01405975395426,0.06943620178041537,256.59050966608095,0.15845697329376848
297.8910369068541,0.0029673590504450953,294.37609841827765,0.00890207715133523,299.6485061511423,0.014836795252225449,282.0738137082601,0.06231454005934711,262.7416520210896,0.1418397626112759
413.88400702987695,-0.006528189910979282,343.58523725834795,0.0017804154302669684,315.46572934973636,0.011275964391691318,297.8910369068541,0.05875370919881298,268.01405975395426,0.12759643916913938
352.37258347978906,-0.0017804154302671071,369.94727592267134,0.0005934718100889802,336.5553602811951,0.006528189910979143,313.7082601054482,0.05816023738872397,269.7715289982425,0.11691394658753701
322.49560632688923,0.0011869436201779882,405.09666080843584,0.0005934718100889802,354.1300527240773,0.005341246290801099,324.2530755711775,0.05875370919881298,276.8014059753954,0.10979228486646876
420.9138840070299,-0.006528189910979282,420.9138840070299,-0.0005934718100890635,375.219683655536,0.004154302670623056,336.5553602811951,0.06231454005934711,282.0738137082601,0.10860534124629072
431.45869947275924,-0.006528189910979282,450.7908611599297,-0.0005934718100890635,399.82425307557116,0.004154302670623056,345.3427065026362,0.06350148367952516,289.103690685413,0.11216617210682485
443.76098418277684,-0.0077151335311573255,475.3954305799648,0.0005934718100889802,419.1564147627417,0.007715133531157187,361.1599297012302,0.06350148367952516,301.4059753954306,0.11572700296735898
466.60808435852374,-0.0077151335311573255,507.029876977153,-0.0005934718100890635,447.27592267135327,0.00890207715133523,378.73462214411245,0.06350148367952516,306.67838312829525,0.12166172106824918
492.97012302284713,-0.00890207715133537,542.1792618629174,-0.0005934718100890635,464.85061511423555,0.010089020771513274,391.03690685413005,0.06587537091988124,317.22319859402455,0.12640949554896136
524.6045694200351,-0.00890207715133537,572.0562390158173,-0.005341246290801238,487.69771528998245,0.011275964391691318,403.3391915641476,0.06824925816023733,322.49560632688923,0.12878338278931745
561.5114235500879,-0.010089020771513413,594.9033391915642,-0.0077151335311573255,514.0597539543058,0.007715133531157187,413.88400702987695,0.06943620178041537,331.2829525483304,0.13471810089020764
600.175746924429,-0.013649851632047544,619.5079086115994,-0.010089020771513413,535.1493848857644,0.005341246290801099,427.94376098418275,0.06706231454005929,340.0702987697715,0.144213649851632
638.8400702987698,-0.01602373887240363,638.8400702987698,-0.013649851632047544,566.7838312829526,0.0005934718100889802,442.0035149384886,0.06706231454005929,347.1001757469244,0.15014836795252218
677.5043936731107,-0.01839762611275969,663.444639718805,-0.017210682492581647,554.4815465729349,0.0017804154302669684,452.5483304042179,0.06231454005934711,361.1599297012302,0.15252225519287826
730.2284710017575,-0.023145400593471865,686.2917398945518,-0.019584569732937734,582.6010544815466,-0.005341246290801238,464.85061511423555,0.05875370919881298,373.46221441124777,0.1537091988130563
772.4077328646749,-0.026706231454006024,709.1388400702988,-0.023145400593471865,642.3550087873463,-0.019584569732937734,478.9103690685413,0.054005934718100806,387.5219683655536,0.1560830860534124
