Au,,Pd014,,Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
252.06053864624337,1.4537418061805103,268.9535796162664,1.3901100934973174,254.257051858332,1.365026822514424,251.237825611989,1.3114366907131965,300.655455202868,1.5029156494893186,250.67838074869604,1.2270181122590964,261.4943147723601,1.1338365270948882
261.4943147723601,1.4699938563242712,279.7989581064196,1.406723877664199,263.8253350360808,1.3774214857149554,261.54093517763454,1.3262514976374677,311.3315280107089,1.51965896341517,259.85150049126173,1.2556410139450294,271.52880200285307,1.1628236895175212
268.7463778150468,1.5146785559796623,289.4665579370086,1.4343285803954697,275.10747311248906,1.3963716894522382,271.75080393273123,1.3381453023250365,321.16843352361025,1.5523790299064122,269.88598772175465,1.2877136338736768,281.9451325527365,1.1859519408502774
273.55734463711485,1.556716153393229,299.7230470973798,1.4532908877331807,284.8045174095672,1.4202077132290891,282.00729309310236,1.356784846984659,331.4249226839814,1.5896581192256574,279.26834428323053,1.3102969350061957,292.929788043108,1.2006945104132623
279.10037370540357,1.5972193096108822,309.97953625775085,1.4746739151565573,295.0610065699383,1.4465935621628403,292.26378225347344,1.3785713277556462,341.6814118443525,1.6252427044849367,290.3989660424969,1.3437936491915887,302.66371881468893,1.2134720109386965
284.7009165089574,1.6336166028553487,315.57398489068055,1.4783856859545774,304.4433631314142,1.4627417824009656,302.5202714138446,1.403746816646565,351.9379010047236,1.6588100230061618,300.655455202868,1.3699374261167736,312.41814207210484,1.2261714809265714
290.8925938630495,1.6775207653153625,339.8165956333759,1.4486915195704166,313.709168679704,1.4778784874604383,312.7767605742157,1.4311816442841052,362.1943901650947,1.6917318161712092,310.9119443632392,1.3960812030419585,322.9666491556234,1.2381003993560422
299.94504902725794,1.7116124601763394,349.9487637130153,1.4585035049843134,391.0990414352315,1.6846310372532578,323.03324973458683,1.4601495946425658,372.45087932546585,1.721022529207759,321.16843352361025,1.4233546493404536,334.1055959872602,1.2503841128859805
309.97953625775085,1.746440090107244,360.26297337515473,1.475088895742671,399.0245103318819,1.695551174528592,333.28973889495796,1.489682379687682,382.707368485837,1.7488608101929093,331.4249226839814,1.4509508583170376,343.67942921325596,1.2656159176631037
320.236025418122,1.7751659684571388,370.2364100749312,1.492920092802259,410.28000817670477,1.7152473827176715,343.54622805532904,1.5204255247756309,392.96385764620806,1.7764570191694937,341.6814118443525,1.4795153553278881,353.80271721570017,1.2944109594440172
330.4925145784931,1.7892061449539969,380.17654648522597,1.510846389579498,417.6726724416476,1.7286881428123655,353.80271721570017,1.549474165803614,403.2203468065792,1.8017131987299346,351.9379010047236,1.512759911171024,364.0592063760713,1.3279782779652423
340.0237974345955,1.784508154861817,391.0990414352315,1.524702130260306,559.8649085286108,1.8832914656168538,364.0592063760713,1.5758600147373656,413.4768359669503,1.8275342129770307,362.1943901650947,1.5464886110312932,374.3156955364424,1.3612228338083785
348.00106678155083,1.7630085742491306,401.3555305956026,1.5263159436507494,570.1213976889819,1.8949109220280471,374.3156955364424,1.6016003383149395,423.7333251273214,1.8506924351298948,374.3156955364424,1.635571110183775,384.5721846968135,1.3889804241240071
356.66210207253096,1.7520023669263063,411.61201975597373,1.5238952235650847,580.377886849353,1.9037868956754864,384.5721846968135,1.624677869798281,433.9898142876925,1.8736892759437151,384.5721846968135,1.6592941670232948,394.7250729565749,1.4116186397399506
361.1687412490576,1.7352563633114708,422.7426415152401,1.5095625433912079,590.6343760097241,1.9136311573571918,394.82867385718464,1.6455767532045251,444.24630344806366,1.8960405914013578,394.82867385718464,1.6801123597600163,405.18876391816553,1.4296664528230774
378.9194605572908,1.6905214561283768,432.124998076716,1.5006563107426976,600.8908651700953,1.923314037699853,405.0851630175558,1.6666370179498124,454.5027926084348,1.916455330790468,405.0851630175558,1.7002850271405596,415.34165217792685,1.4487991071297794
