Opt.,Const.,of,B-Spline,vs.,nm
Wavelength_(nm),n_5_gold,k_5_gold,n_20_Pd,k_20_Pd,n_MS_9_to_17,k_MS_9_to_17
296.000000,1.677790,1.734474,1.170711,2.223254,1.422701,2.245868,
297.000000,1.679314,1.734696,1.171758,2.230279,1.425394,2.252246,
298.000000,1.680815,1.734861,1.172818,2.237337,1.428074,2.258619,
299.000000,1.682280,1.735007,1.173895,2.244438,1.430745,2.265001,
300.000000,1.683712,1.735155,1.174995,2.251586,1.433413,2.271398,
301.000000,1.685124,1.735320,1.176123,2.258782,1.436085,2.277814,
302.000000,1.686531,1.735508,1.177289,2.266025,1.438770,2.284252,
303.000000,1.687956,1.735721,1.178499,2.273313,1.441477,2.290711,
304.000000,1.689425,1.735953,1.179763,2.280639,1.444218,2.297187,
305.000000,1.690971,1.736177,1.181090,2.287992,1.447003,2.303670,
306.000000,1.692604,1.736349,1.182480,2.295356,1.449834,2.310143,
307.000000,1.694315,1.736434,1.183925,2.302720,1.452705,2.316595,
308.000000,1.696090,1.736403,1.185422,2.310075,1.455612,2.323018,
309.000000,1.697912,1.736233,1.186962,2.317417,1.458547,2.329407,
310.000000,1.699762,1.735907,1.188538,2.324741,1.461503,2.335758,
311.000000,1.701619,1.735409,1.190143,2.332045,1.464471,2.342069,
312.000000,1.703457,1.734729,1.191768,2.339328,1.467443,2.348340,
313.000000,1.705251,1.733866,1.193406,2.346594,1.470411,2.354577,
314.000000,1.706985,1.732821,1.195054,2.353848,1.473372,2.360788,
315.000000,1.708642,1.731598,1.196712,2.361092,1.476328,2.366976,
316.000000,1.710210,1.730197,1.198377,2.368329,1.479279,2.373146,
317.000000,1.711675,1.728620,1.200050,2.375559,1.482226,2.379300,
318.000000,1.713023,1.726867,1.201729,2.382786,1.485173,2.385439,
319.000000,1.714240,1.724943,1.203414,2.390009,1.488119,2.391565,
320.000000,1.715314,1.722849,1.205105,2.397230,1.491069,2.397677,
321.000000,1.716228,1.720592,1.206801,2.404452,1.494024,2.403774,
322.000000,1.716972,1.718181,1.208503,2.411677,1.496985,2.409855,
323.000000,1.717539,1.715624,1.210214,2.418906,1.499952,2.415917,
324.000000,1.717919,1.712925,1.211934,2.426141,1.502924,2.421960,
325.000000,1.718107,1.710093,1.213666,2.433380,1.505902,2.427982,
326.000000,1.718097,1.707130,1.215413,2.440625,1.508884,2.433984,
327.000000,1.717882,1.704042,1.217177,2.447873,1.511871,2.439963,
328.000000,1.717460,1.700830,1.218960,2.455125,1.514861,2.445920,
329.000000,1.716829,1.697495,1.220766,2.462375,1.517855,2.451854,
330.000000,1.715984,1.694019,1.222596,2.469619,1.520852,2.457764,
331.000000,1.714902,1.690389,1.224447,2.476851,1.523850,2.463650,
332.000000,1.713553,1.686598,1.226317,2.484070,1.526850,2.469510,
333.000000,1.711904,1.682645,1.228203,2.491271,1.529849,2.475345,
334.000000,1.709914,1.678533,1.230101,2.498455,1.532847,2.481154,
335.000000,1.707541,1.674274,1.232008,2.505619,1.535843,2.486938,
336.000000,1.704731,1.669884,1.233921,2.512763,1.538836,2.492695,
337.000000,1.701423,1.665393,1.235835,2.519889,1.541824,2.498428,
338.000000,1.697531,1.660859,1.237747,2.526997,1.544806,2.504136,
339.000000,1.692987,1.656421,1.239654,2.534092,1.547781,2.509822,
340.000000,1.687817,1.652226,1.241555,2.541176,1.550750,2.515487,
341.000000,1.682080,1.648388,1.243452,2.548253,1.553716,2.521133,
342.000000,1.675854,1.644999,1.245345,2.555324,1.556678,2.526761,
343.000000,1.669232,1.642133,1.247235,2.562389,1.559640,2.532369,
344.000000,1.662324,1.639848,1.249122,2.569451,1.562603,2.537959,
345.000000,1.655253,1.638179,1.251009,2.576509,1.565570,2.543528,
346.000000,1.648163,1.637141,1.252896,2.583562,1.568543,2.549075,
347.000000,1.641226,1.636716,1.254785,2.590611,1.571526,2.554596,
348.000000,1.634657,1.636784,1.256678,2.597653,1.574522,2.560087,
349.000000,1.628549,1.637098,1.258572,2.604684,1.577531,2.565537,
350.000000,1.622872,1.637452,1.260467,2.611701,1.580549,2.570941,
351.000000,1.617559,1.637690,1.262356,2.618704,1.583569,2.576292,
352.000000,1.612513,1.637684,1.264238,2.625691,1.586587,2.581588,
353.000000,1.607622,1.637334,1.266109,2.632663,1.589595,2.586826,
354.000000,1.602752,1.636564,1.267963,2.639623,1.592589,2.592005,
355.000000,1.597752,1.635325,1.269797,2.646570,1.595562,2.597122,
356.000000,1.592449,1.633593,1.271607,2.653508,1.598507,2.602180,
357.000000,1.586639,1.631384,1.273387,2.660442,1.601417,2.607176,
358.000000,1.580065,1.628806,1.275132,2.667378,1.604287,2.612114,
359.000000,1.572572,1.626135,1.276841,2.674329,1.607109,2.616996,
360.000000,1.564156,1.623613,1.278519,2.681301,1.609878,2.621824,
361.000000,1.554856,1.621434,1.280170,2.688302,1.612588,2.626603,
362.000000,1.544738,1.619765,1.281800,2.695337,1.615234,2.631334,
363.000000,1.533888,1.618748,1.283414,2.702407,1.617810,2.636023,
364.000000,1.522408,1.618506,1.285018,2.709517,1.620310,2.640674,
365.000000,1.510419,1.619143,1.286617,2.716669,1.622728,2.645292,
366.000000,1.498054,1.620745,1.288216,2.723862,1.625056,2.649883,
367.000000,1.485466,1.623375,1.289823,2.731098,1.627288,2.654455,
368.000000,1.472830,1.627068,1.291443,2.738375,1.629414,2.659019,
369.000000,1.460337,1.631793,1.293081,2.745691,1.631425,2.663594,
370.000000,1.448120,1.637461,1.294742,2.753043,1.633324,2.668202,
371.000000,1.436262,1.643995,1.296429,2.760428,1.635121,2.672862,
372.000000,1.424835,1.651331,1.298143,2.767843,1.636828,2.677587,
373.000000,1.413906,1.659405,1.299887,2.775285,1.638456,2.682387,
374.000000,1.403533,1.668156,1.301664,2.782754,1.640019,2.687271,
