Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n7_and_18_MS,k7_and_18_MS,n6,k6,n8_drude,k7_drude,n19_B_spline,k19_B_SPline,n19_Drude,k19_Drude
265.000000,1.383862,1.883668,1.426050,1.792886,1.383388,1.656020,1.245114,1.924718,1.288605,1.974808,
266.000000,1.387583,1.888878,1.429250,1.797877,1.386961,1.660342,1.246863,1.932614,1.292389,1.982968,
267.000000,1.391279,1.894002,1.432436,1.802772,1.390527,1.664647,1.248614,1.940590,1.296184,1.991082,
268.000000,1.394950,1.899037,1.435599,1.807564,1.394086,1.668937,1.250381,1.948647,1.299989,1.999151,
269.000000,1.398596,1.903981,1.438728,1.812248,1.397637,1.673211,1.252179,1.956786,1.303803,2.007175,
270.000000,1.402218,1.908829,1.441809,1.816821,1.401182,1.677470,1.254021,1.965003,1.307627,2.015156,
271.000000,1.405820,1.913573,1.444828,1.821285,1.404720,1.681713,1.255924,1.973291,1.311460,2.023093,
272.000000,1.409397,1.918193,1.447773,1.825649,1.408250,1.685941,1.257898,1.981635,1.315301,2.030987,
273.000000,1.412936,1.922675,1.450640,1.829919,1.411774,1.690155,1.259944,1.990023,1.319150,2.038839,
274.000000,1.416415,1.927011,1.453424,1.834100,1.415290,1.694353,1.262064,1.998443,1.323007,2.046649,
275.000000,1.419816,1.931197,1.456124,1.838196,1.418800,1.698537,1.264257,2.006889,1.326871,2.054419,
276.000000,1.423115,1.935230,1.458739,1.842209,1.422303,1.702706,1.266521,2.015353,1.330742,2.062148,
277.000000,1.426291,1.939113,1.461273,1.846132,1.425798,1.706860,1.268855,2.023828,1.334620,2.069837,
278.000000,1.429320,1.942851,1.463721,1.849940,1.429287,1.711001,1.271256,2.032307,1.338504,2.077487,
279.000000,1.432177,1.946453,1.466051,1.853613,1.432768,1.715127,1.273718,2.040784,1.342393,2.085098,
280.000000,1.434835,1.949930,1.468222,1.857146,1.436243,1.719239,1.276233,2.049255,1.346289,2.092670,
281.000000,1.437266,1.953300,1.470188,1.860542,1.439711,1.723338,1.278793,2.057721,1.350189,2.100205,
282.000000,1.439437,1.956583,1.471895,1.863820,1.443172,1.727422,1.281386,2.066183,1.354095,2.107702,
283.000000,1.441309,1.959816,1.473274,1.867015,1.446625,1.731493,1.284000,2.074651,1.358006,2.115162,
284.000000,1.442842,1.963067,1.474256,1.870223,1.450072,1.735551,1.286624,2.083149,1.361920,2.122586,
285.000000,1.444050,1.966428,1.474852,1.873575,1.453512,1.739595,1.289271,2.091712,1.365839,2.129974,
286.000000,1.444970,1.969962,1.475114,1.877162,1.456945,1.743626,1.291972,2.100354,1.369762,2.137326,
287.000000,1.445653,1.973715,1.475113,1.881050,1.460372,1.747644,1.294757,2.109085,1.373689,2.144643,
288.000000,1.446153,1.977721,1.474925,1.885285,1.463791,1.751649,1.297661,2.117901,1.377619,2.151926,
289.000000,1.446529,1.982002,1.474640,1.889896,1.467204,1.755641,1.300725,2.126792,1.381552,2.159174,
290.000000,1.446851,1.986559,1.474360,1.894880,1.470610,1.759620,1.303993,2.135727,1.385488,2.166389,
291.000000,1.447178,1.991360,1.474176,1.900177,1.474009,1.763587,1.307496,2.144638,1.389426,2.173569,
292.000000,1.447534,1.996368,1.474118,1.905721,1.477401,1.767541,1.311214,2.153460,1.393367,2.180717,
293.000000,1.447934,2.001558,1.474197,1.911463,1.480786,1.771483,1.315117,2.162152,1.397311,2.187833,
294.000000,1.448387,2.006910,1.474418,1.917367,1.484165,1.775413,1.319169,2.170683,1.401256,2.194916,
295.000000,1.448901,2.012408,1.474781,1.923401,1.487537,1.779330,1.323329,2.179035,1.405203,2.201967,
296.000000,1.449482,2.018037,1.475283,1.929540,1.490902,1.783235,1.327556,2.187199,1.409152,2.208987,
297.000000,1.450133,2.023787,1.475918,1.935764,1.494260,1.787129,1.331802,2.195179,1.413102,2.215975,
298.000000,1.450859,2.029652,1.476679,1.942062,1.497612,1.791011,1.336028,2.203007,1.417054,2.222933,
299.000000,1.451668,2.035626,1.477566,1.948424,1.500957,1.794881,1.340225,2.210714,1.421006,2.229860,
300.000000,1.452571,2.041703,1.478579,1.954840,1.504295,1.798739,1.344392,2.218322,1.424960,2.236758,
301.000000,1.453579,2.047872,1.479719,1.961300,1.507627,1.802586,1.348530,2.225846,1.428914,2.243625,
302.000000,1.454702,2.054124,1.480987,1.967793,1.510952,1.806421,1.352641,2.233299,1.432869,2.250463,
303.000000,1.455953,2.060447,1.482384,1.974309,1.514271,1.810245,1.356731,2.240689,1.436824,2.257272,
304.000000,1.457347,2.066824,1.483913,1.980836,1.517583,1.814058,1.360804,2.248023,1.440780,2.264052,
305.000000,1.458898,2.073230,1.485576,1.987358,1.520888,1.817860,1.364867,2.255299,1.444735,2.270804,
306.000000,1.460605,2.079628,1.487368,1.993858,1.524187,1.821651,1.368921,2.262516,1.448691,2.277528,
