Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n_21,k_21,n22,k22,n23,k23,n124,k124,n_Pd_model,k_Pd_model
271.000000,1.970652,1.345222,1.991747,1.324154,2.040298,1.275319,2.048899,1.168817,2.108787,
272.000000,1.978362,1.348031,1.999152,1.327170,2.047662,1.278362,2.056044,1.172997,2.112961,
273.000000,1.986049,1.350837,2.006539,1.330175,2.054981,1.281381,2.063143,1.177163,2.117128,
274.000000,1.993708,1.353647,2.013919,1.333177,2.062274,1.284380,2.070214,1.181317,2.121287,
275.000000,2.001332,1.356467,2.021297,1.336185,2.069559,1.287364,2.077276,1.185458,2.125440,
276.000000,2.008915,1.359304,2.028676,1.339205,2.076853,1.290341,2.084343,1.189588,2.129586,
277.000000,2.016451,1.362169,2.036055,1.342244,2.084172,1.293313,2.091430,1.188875,2.135454,
278.000000,2.023946,1.365068,2.043427,1.345304,2.091513,1.296283,2.098539,1.187637,2.141504,
279.000000,2.031412,1.368002,2.050784,1.348384,2.098859,1.299249,2.105655,1.186412,2.147545,
280.000000,2.038864,1.370967,2.058121,1.351479,2.106195,1.302210,2.112767,1.185198,2.153576,
281.000000,2.046315,1.373962,2.065435,1.354587,2.113505,1.305165,2.119862,1.183997,2.159598,
282.000000,2.053775,1.376984,2.072724,1.357706,2.120773,1.308112,2.126930,1.182807,2.165610,
283.000000,2.061257,1.380029,2.079986,1.360834,2.127987,1.311051,2.133961,1.181629,2.171613,
284.000000,2.068765,1.383093,2.087222,1.363969,2.135138,1.313982,2.140947,1.180463,2.177606,
285.000000,2.076293,1.386176,2.094434,1.367112,2.142227,1.316914,2.147891,1.179983,2.183781,
286.000000,2.083827,1.389276,2.101623,1.370266,2.149259,1.319854,2.154797,1.179962,2.190071,
287.000000,2.091361,1.392393,2.108789,1.373430,2.156237,1.322811,2.161669,1.179948,2.196347,
288.000000,2.098883,1.395526,2.115934,1.376608,2.163165,1.325791,2.168508,1.179941,2.202609,
289.000000,2.106385,1.398676,2.123057,1.379800,2.170046,1.328803,2.175320,1.179942,2.208858,
290.000000,2.113859,1.401842,2.130159,1.383007,2.176883,1.331851,2.182106,1.179951,2.215092,
291.000000,2.121298,1.405023,2.137241,1.386231,2.183684,1.334936,2.188869,1.179966,2.221313,
292.000000,2.128696,1.408221,2.144303,1.389473,2.190457,1.338046,2.195610,1.179989,2.227521,
293.000000,2.136051,1.411435,2.151344,1.392735,2.197212,1.341173,2.202333,1.181420,2.234287,
294.000000,2.143357,1.414666,2.158367,1.396018,2.203959,1.344307,2.209038,1.183784,2.241413,
295.000000,2.150611,1.417914,2.165369,1.399323,2.210706,1.347438,2.215728,1.186144,2.248518,
296.000000,2.157809,1.421180,2.172352,1.402651,2.217460,1.350559,2.222403,1.188501,2.255601,
297.000000,2.164947,1.424464,2.179314,1.406004,2.224230,1.353662,2.229066,1.190854,2.262662,
298.000000,2.172029,1.427768,2.186254,1.409380,2.231014,1.356746,2.235717,1.193204,2.269702,
299.000000,2.179065,1.431089,2.193172,1.412772,2.237802,1.359818,2.242355,1.195551,2.276721,
300.000000,2.186064,1.434429,2.200067,1.416175,2.244584,1.362886,2.248981,1.197894,2.283720,
301.000000,2.193036,1.437787,2.206938,1.419584,2.251350,1.365956,2.255593,1.200101,2.290619,
302.000000,2.199991,1.441162,2.213784,1.422993,2.258090,1.369035,2.262192,1.201112,2.296805,
303.000000,2.206935,1.444554,2.220605,1.426398,2.264796,1.372129,2.268778,1.202125,2.302976,
304.000000,2.213879,1.447963,2.227401,1.429794,2.271460,1.375245,2.275349,1.203140,2.309131,
305.000000,2.220826,1.451387,2.234169,1.433178,2.278075,1.378384,2.281904,1.204158,2.315273,
306.000000,2.227772,1.454828,2.240911,1.436555,2.284645,1.381542,2.288444,1.205178,2.321399,
307.000000,2.234710,1.458283,2.247625,1.439930,2.291174,1.384712,2.294964,1.206200,2.327511,
308.000000,2.241635,1.461751,2.254311,1.443308,2.297666,1.387887,2.301465,1.207224,2.333608,
309.000000,2.248540,1.465233,2.260968,1.446695,2.304126,1.391060,2.307943,1.208251,2.339691,
310.000000,2.255421,1.468727,2.267597,1.450094,2.310557,1.394225,2.314398,1.209279,2.345760,
311.000000,2.262272,1.472232,2.274197,1.453510,2.316963,1.397377,2.320827,1.209987,2.352190,
312.000000,2.269088,1.475747,2.280768,1.456948,2.323347,1.400509,2.327230,1.209951,2.359477,
313.000000,2.275865,1.479271,2.287310,1.460407,2.329713,1.403621,2.333607,1.209924,2.366746,
314.000000,2.282604,1.482803,2.293823,1.463881,2.336060,1.406715,2.339961,1.209906,2.373998,
315.000000,2.289304,1.486344,2.300309,1.467364,2.342388,1.409793,2.346296,1.209898,2.381233,
316.000000,2.295965,1.489891,2.306766,1.470847,2.348699,1.412859,2.352615,1.209898,2.388450,
317.000000,2.302587,1.493445,2.313195,1.474326,2.354993,1.415916,2.358921,1.209906,2.395649,
318.000000,2.309170,1.497005,2.319597,1.477795,2.361270,1.418967,2.365217,1.209924,2.402832,
319.000000,2.315712,1.500570,2.325972,1.481248,2.367530,1.422014,2.371507,1.209950,2.409997,
320.000000,2.322215,1.504139,2.332320,1.484679,2.373774,1.425060,2.377792,1.209984,2.417145,
321.000000,2.328680,1.507712,2.338642,1.488088,2.380003,1.428107,2.384074,1.209419,2.424371,
322.000000,2.335110,1.511289,2.344940,1.491481,2.386214,1.431157,2.390351,1.208462,2.431644,
323.000000,2.341512,1.514869,2.351216,1.494866,2.392409,1.434211,2.396619,1.207518,2.438901,
324.000000,2.347889,1.518455,2.357468,1.498253,2.398585,1.437272,2.402878,1.206587,2.446145,
325.000000,2.354247,1.522047,2.363698,1.501648,2.404743,1.440340,2.409124,1.205669,2.453373,
326.000000,2.360588,1.525645,2.369906,1.505059,2.410881,1.443416,2.415355,1.204763,2.460587,
327.000000,2.366918,1.529252,2.376091,1.508493,2.417000,1.446504,2.421569,1.203870,2.467785,
328.000000,2.373240,1.532869,2.382252,1.511956,2.423099,1.449602,2.427763,1.202989,2.474970,
329.000000,2.379558,1.536496,2.388389,1.515453,2.429176,1.452714,2.433937,1.202120,2.482139,
330.000000,2.385869,1.540135,2.394497,1.518982,2.435231,1.455835,2.440088,1.201263,2.489295,
331.000000,2.392166,1.543785,2.400574,1.522528,2.441261,1.458959,2.446215,1.200418,2.496435,
332.000000,2.398443,1.547442,2.406617,1.526081,2.447263,1.462082,2.452317,1.200914,2.503223,
333.000000,2.404693,1.551105,2.412626,1.529629,2.453236,1.465197,2.458394,1.202740,2.509657,
334.000000,2.410910,1.554772,2.418599,1.533160,2.459177,1.468300,2.464444,1.204564,2.516075,
335.000000,2.417088,1.558438,2.424537,1.536665,2.465083,1.471385,2.470468,1.206386,2.522477,
336.000000,2.423222,1.562102,2.430439,1.540133,2.470954,1.474448,2.476463,1.208207,2.528863,
337.000000,2.429306,1.565760,2.436306,1.543555,2.476788,1.477484,2.482429,1.210026,2.535234,
338.000000,2.435335,1.569409,2.442140,1.546923,2.482581,1.480489,2.488365,1.211844,2.541590,
339.000000,2.441311,1.573045,2.447946,1.550237,2.488338,1.483465,2.494274,1.213659,2.547930,
340.000000,2.447239,1.576670,2.453727,1.553511,2.494061,1.486417,2.500159,1.215473,2.554254,
341.000000,2.453125,1.580285,2.459488,1.556757,2.499757,1.489351,2.506024,1.217285,2.560564,
342.000000,2.458974,1.583891,2.465229,1.559985,2.505429,1.492274,2.511873,1.219095,2.566858,
343.000000,2.464792,1.587490,2.470953,1.563208,2.511082,1.495191,2.517709,1.220418,2.573465,
344.000000,2.470584,1.591084,2.476661,1.566434,2.516720,1.498107,2.523536,1.221258,2.580381,
345.000000,2.476355,1.594675,2.482353,1.569676,2.522347,1.501028,2.529357,1.222100,2.587281,
346.000000,2.482110,1.598266,2.488030,1.572942,2.527968,1.503958,2.535175,1.222946,2.594165,
347.000000,2.487852,1.601859,2.493691,1.576241,2.533584,1.506902,2.540993,1.223795,2.601032,
348.000000,2.493587,1.605458,2.499334,1.579580,2.539201,1.509863,2.546813,1.224648,2.607883,
349.000000,2.499311,1.609063,2.504955,1.582953,2.544814,1.512839,2.552633,1.225503,2.614717,
350.000000,2.505022,1.612672,2.510551,1.586353,2.550420,1.515825,2.558450,1.226362,2.621536,
351.000000,2.510718,1.616286,2.516120,1.589770,2.556017,1.518816,2.564261,1.227223,2.628339,
352.000000,2.516395,1.619902,2.521661,1.593196,2.561600,1.521809,2.570064,1.228088,2.635125,
353.000000,2.522052,1.623519,2.527173,1.596624,2.567168,1.524799,2.575855,1.228955,2.641896,
354.000000,2.527685,1.627134,2.532655,1.600046,2.572716,1.527782,2.581634,1.229826,2.648651,
355.000000,2.533293,1.630746,2.538107,1.603455,2.578242,1.530756,2.587396,1.230568,2.655331,
356.000000,2.538873,1.634353,2.543528,1.606845,2.583744,1.533715,2.593139,1.231280,2.661981,
357.000000,2.544423,1.637952,2.548920,1.610209,2.589218,1.536658,2.598863,1.231996,2.668616,
358.000000,2.549942,1.641542,2.554283,1.613541,2.594663,1.539581,2.604563,1.232715,2.675236,
359.000000,2.555430,1.645119,2.559620,1.616842,2.600079,1.542484,2.610241,1.233438,2.681842,
360.000000,2.560889,1.648686,2.564933,1.620114,2.605467,1.545369,2.615898,1.234163,2.688433,
361.000000,2.566321,1.652241,2.570224,1.623359,2.610829,1.548238,2.621532,1.234892,2.695010,
362.000000,2.571727,1.655786,2.575494,1.626580,2.616167,1.551093,2.627146,1.235624,2.701572,
363.000000,2.577110,1.659321,2.580744,1.629780,2.621481,1.553934,2.632739,1.236358,2.708120,
364.000000,2.582470,1.662846,2.585974,1.632959,2.626773,1.556765,2.638313,1.237096,2.714653,
365.000000,2.587809,1.666363,2.591186,1.636122,2.632044,1.559586,2.643867,1.237836,2.721173,
366.000000,2.593129,1.669872,2.596379,1.639269,2.637296,1.562398,2.649402,1.238580,2.727678,
367.000000,2.598432,1.673373,2.601554,1.642402,2.642529,1.565204,2.654919,1.239326,2.734170,
368.000000,2.603717,1.676870,2.606711,1.645524,2.647745,1.568004,2.660418,1.240147,2.740672,
369.000000,2.608987,1.680361,2.611848,1.648636,2.652945,1.570798,2.665899,1.241619,2.747384,
370.000000,2.614241,1.683848,2.616964,1.651738,2.658129,1.573588,2.671365,1.243091,2.754081,
371.000000,2.619478,1.687329,2.622058,1.654832,2.663299,1.576371,2.676819,1.244562,2.760762,
