n300,,n600,,n900,,n1200,,n1500,,k300,,k600,,k900,,k1200,,k1500,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.0001734373181236093,1.4889663385757816,0.0002805261319986166,2.1890784265648535,0.000053544406937507116,2.6091456793582966,0.0002805261319986166,2.930172685558164,0.0002805261319986166,3.1828960734176333,0.000052381617544373926,2.0905459387483365,0.000052381617544373926,3.2796850576043557,0.0002793686269032189,4.355931222138599,0.0002793686269032189,5.334336826260637,0.000052381617544373926,6.418109187749666
0.00935979513444303,1.4889663385757816,0.008905831684320811,2.1856632456478335,0.00935979513444303,2.6023153175242566,0.011629612385054139,2.916511961890084,0.015261319986031904,3.1555746260814743,0.015714485263304954,2.083019741793551,0.012082693113563373,3.2796850576043557,0.01299064115099876,4.348405025183814,0.01389858918843416,5.319284432351068,0.01389858918843416,6.395530596885312
0.01843906413688745,1.4889663385757816,0.026610406239087434,2.1856632456478335,0.025702479338842982,2.598900136607237,0.02343266208823188,2.9062664191390244,0.02797229658945409,3.138498721496375,0.029787679843553586,2.0754935448387695,0.033419471993295174,3.264632663694785,0.03024165386227129,4.318300237364674,0.024793965637658913,5.304232038441498,0.028425757787400502,6.380478202975741
0.030696077290187418,1.4889663385757816,0.04022930974275406,2.1822480647308136,0.04022930974275406,2.595484955690217,0.0388674193923874,2.896020876387965,0.04431498079385404,3.118007635994256,0.04295292638636683,2.067967347883984,0.046130744517390715,3.2495802697852163,0.04476882246123762,4.303247843455104,0.043860874423802224,5.289179644531929,0.046584718536108405,6.357899612111387
0.04522290769409848,1.4889663385757816,0.05566406704690956,2.1822480647308136,0.05384821324642068,2.5852394129391576,0.05384821324642068,2.8789449718028655,0.05929577464788734,3.094101369575117,0.058842017041486255,2.067967347883984,0.05974996507892165,3.242054072830431,0.06156586115379245,4.2957216465003185,0.05748009498533316,5.266601053667573,0.06292778320994555,6.342847218201818
0.059749738098009555,1.4923815194928016,0.06882900710045398,2.182248064730814,0.0692829705505762,2.5749938701880977,0.06428937259923176,2.861869067217766,0.06428937259923176,3.063364741321938,0.0729152116217349,2.060441150929199,0.07609302975275879,3.219475481966077,0.07609302975275879,4.273143055635964,0.0710993155468641,5.251548659758004,0.07790892582762958,6.305216233427894
0.07881620300314285,1.4923815194928016,0.08290187405424282,2.1822480647308136,0.08017809335350949,2.568163508354058,0.061111628448376226,2.8755297908858455,0.07427656850192063,3.0462888367368386,0.09016622433300742,2.0529149539744136,0.09289006844531361,3.2119492850112916,0.09379801648274899,4.258090661726396,0.08471853610839504,5.221443871938863,0.09379801648274899,6.297690036473108
0.09515888720754279,1.4957967004098216,0.09742870445815391,2.1822480647308136,0.09288906995693169,2.564748327437038,0.07200675125130952,2.8516235244667065,0.08426376440460948,3.0326281130687596,0.10923313311915073,2.0529149539744136,0.10696326302556222,3.2044230880565063,0.10923313311915073,4.258090661726396,0.09788378265120828,5.221443871938863,0.10560134096940915,6.290163839518323
0.11286346176230941,1.4957967004098216,0.1169491328134094,2.1822480647308136,0.10741590036084275,2.5579179656029987,0.07972412990338726,2.841377981715647,0.09879059480852057,3.01555220848366,0.12648414583042325,2.0453887570196283,0.1205824835870932,3.2044230880565063,0.12693811984914094,4.23551207086204,0.11059505517530382,5.206391478029294,0.117858639474787,6.267585248653969
