n300,,n600,,n900,,n1200,,n1500,,k300,,k600,,k900,,k1200,,k1500,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0003515566250560792,1.3858753897116154,0.0014381861934122248,2.075713659392052,0.0003515566250560931,2.582533612626659,-0.00019175815912202132,2.9626485775526135,-0.0007350729433000802,3.268852299298521,0.0003506188312702718,2.0418141918657504,0.0008939370202096092,3.4034256227608495,0.0003506188312702302,4.546206645119234,0.0003506188312702302,5.551205558398948,-0.0001926993576691488,6.572414131570273
0.030777184539028127,1.38939497272019,0.03403707324409656,2.0721940763834783,0.030777184539028127,2.5754944466095115,0.036210332380808855,2.952089828526892,0.03295044367574042,3.254773967264226,0.022083346388845043,2.0256045319741425,0.029689801033996252,3.3872159628692398,0.0209967100109663,4.529996985227626,0.0231699827667238,5.534995898507342,0.0231699827667238,6.548099641732861
0.06554933072642477,1.3929145557287637,0.07641562640998623,2.0721940763834783,0.06663596029478092,2.5684552805923637,0.06880921943149321,2.9450506625097446,0.059029553316287925,3.240695635229932,0.04490271032429863,2.0093948720825345,0.06772207425975221,3.371006302977632,0.05142252859157109,4.513787325336018,0.05359580134732858,5.510681408669928,0.06554880150399472,6.50757549200384
0.112274402165739,1.3964341387373378,0.11118777259738286,2.068674493374905,0.0948883290720407,2.5578965315666427,0.10575462475560213,2.9309723304754502,0.08728192209354768,3.223097720187064,0.07424189252702465,1.9931852121909248,0.10358107472975067,3.34669181314022,0.08619489268369082,4.489472835498606,0.08510825630581206,5.486366918832516,0.10901425661914438,6.475156172220624
0.1394401413746426,1.396434138737337,0.14704654835313563,2.0651549103663314,0.14052677094299876,2.547337782540922,0.14378665964806722,2.909854832424008,0.12748721612272504,3.205499805144196,0.10575434748550816,1.9931852121909248,0.13618016606611294,3.322377323302808,0.1122741657527806,4.473263175606997,0.11336080213065935,5.470157258940906,0.1405267115776279,6.450841682383212
0.1763855466987516,1.396434138737337,0.18833847195066913,2.0651549103663314,0.17855880583546382,2.536779033515201,0.17964543540381997,2.899296083398288,0.16660588058354625,3.1843823070927533,0.1405267115776279,1.9850803822451208,0.15573962086793028,3.322377323302808,0.13835343882187043,4.448948685769585,0.14378662071126413,5.4377379391576905,0.17095253015823267,6.418422362599994
0.22202398856970965,1.4034733047544843,0.22419724770642194,2.0651549103663314,0.21985072943299735,2.5262202844894803,0.23180365468491496,2.881698168355419,0.20789780418107975,3.1632648090413116,0.1818188939370201,1.968870722353513,0.18616543944853509,3.2980628334653943,0.17312580291399016,4.432739025877975,0.17421243929186891,5.421528279266084,0.20246498511671618,6.386003042816778
0.262229282598887,1.410512470771632,0.2600560234621747,2.0581157443491844,0.2578827643254624,2.5156615354637597,0.2807019852609415,2.864100253312551,0.24158332080012027,3.149186477007017,0.224197712674291,1.9526610624619067,0.2165912580291398,3.2737483436279824,0.20246498511671618,4.408424536040565,0.21985116716277592,5.397213789428671,0.23071753094156344,6.36979338292517
0.29917468792299595,1.4105124707716312,0.30352120619642053,2.0545961613406103,0.29700142878628366,2.505102786438038,0.329600315836968,2.8394631722525348,0.27961535569258533,3.1280689789555747,0.2524502584991383,1.936451402570297,0.2470170766097446,3.2575386837363727,0.23071753094156344,4.392214876148955,0.25136362212125957,5.372899299591257,0.2709230769230769,6.337374063141953
0.35459279590915926,1.417551636788779,0.3502462776357348,2.0545961613406103,0.33503346367874876,2.491024454403744,0.37523875770792603,2.825384840218241,0.32525379756354345,3.0999123148869856,0.2807028043239856,1.9283465726244913,0.27961616794610683,3.2413290238447665,0.2557101676327745,4.376005216257347,0.27852953156822813,5.348584809753845,0.30895535014883285,6.296849913412931
0.4034911264851858,1.4210712197973527,0.40675101519025425,2.051076578332037,0.3719788690028577,2.48750487139517,0.4154440517371034,2.81482609119252,0.3643724620243646,3.082314399844118,0.31221525928246907,1.9121369127328833,0.31112862290459037,3.2170145340073546,0.287222622591258,4.367900386311543,0.31656180479398405,5.299955830079021,0.34372771424095255,6.256325763683911
0.44695630921943164,1.424590802805926,0.4491295683561439,2.051076578332037,0.40892427432696654,2.4804657053780224,0.46868890058655455,2.7901890101325044,0.40675101519025425,3.0682360678098233,0.34264107786307385,1.9040320827870794,0.3382945323515589,3.200804874115745,0.31656180479398405,4.319271406636718,0.3513341688861038,5.275641340241609,0.3752401691994361,6.240116103792301
0.4871616032486089,1.4281103858145001,0.48824823281696517,2.0440374123148897,0.44478305008271934,2.4699069563523017,0.4985712137163484,2.776110678098209,0.4480429387877878,3.0435989867498066,0.3752401691994361,1.8797175929496674,0.37306689644367863,3.176490384278333,0.3513341688861038,4.294956916799304,0.3893664421118597,5.267536510295804,0.40457935140216217,6.223906443900695
0.5088941946157319,1.4281103858144997,0.5088941946157319,2.0405178293063155,0.4773819371334037,2.455828624318007,0.5088941946157319,2.7655519290724886,0.48498834411189673,3.018961905689791,0.40783926053579833,1.8797175929496674,0.40675262415791963,3.176490384278333,0.38393326022246604,4.2868520868535,0.4284853517154944,5.235117190512588,0.43283189722700943,6.191487124117478
,,,,0.5088941946157322,2.445269875292286,,,0.509980824184088,2.9943248246297762,0.4360918063606456,1.8635079330580595,0.43717844273852435,3.160280724386725,0.4154457151809496,4.270642426961892,0.46760426131912913,5.194593040783566,0.46434435218549297,6.167172634280064
,,,,,,,,,,0.4828171706094315,1.8472982731664498,0.46217107942973545,3.1278614046035056,0.4534779884067055,4.24632793712448,0.5088964436785214,5.145964061108742,0.4915102616324615,6.126648484551044
,,,,,,,,,,0.5088964436785213,1.8310886132748418,0.4915102616324615,3.1116517447118994,0.48716371612094644,4.20580378739546,,,0.5099830800564,6.094229164767828
,,,,,,,,,,0.4605411248629173,1.8635079330580595,0.5099830800564,3.071127594982878,0.5099830800564,4.1733844676122445,,,,
