n300,,n600,,n900,,n1200,,n1500,,k300,,k600,,k900,,k1200,,k1500,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0000052491907496388795,1.4456893171250953,0.00009040272957906714,2.0161615595764966,0.00009040272957907235,2.245168337908241,0.0001755562684085006,2.3514929135622653,0.00009040272957907235,2.4353257520587084,0.0002170939673484841,1.9499313936882956,0.0001321188487616292,3.1600907283470647,0.0002170939673484893,4.255775531348922,0.0002170939673484841,5.34328358208958,0.00013211884876163267,6.643387191621631
0.007243299991251256,1.4477340205030567,0.004688693826368332,2.0161615595764966,0.005540229214662639,2.2431236345302796,0.006051150447639226,2.3412693966724554,0.004177772593391749,2.421012828412974,0.0068451532171229755,1.9581081459495007,0.005995402031254451,3.168267480608268,0.005485551319733335,4.247598779087713,0.004295899659517401,5.351460334350785,0.005485551319733335,6.651563943882842
0.014055583097605722,1.4477340205030589,0.012863433553993692,2.0161615595764966,0.013033740631652552,2.2369895243963933,0.010990055699746214,2.3351352865385695,0.010138520311451904,2.4046552013892777,0.014662864127113408,1.9499313936882938,0.011263859383639305,3.160090728347061,0.012623461281028946,4.239422026826508,0.009734307249075962,5.351460334350783,0.010074207723423372,6.643387191621635
0.020527252048642464,1.4497787238810198,0.018653874194394984,2.0161615595764966,0.019675716660348157,2.2329001176404693,0.020016330815665877,2.3187776595148737,0.018142952961418404,2.384208167609658,0.022990425748624952,1.941754641427087,0.017891918633413804,3.1519139760858526,0.01874166981928232,4.2312452745653,0.014153013415592292,5.343283582089574,0.017212117684718982,6.6433871916216365
0.027169228077338067,1.451823427258982,0.025636464378408313,2.0141168561985343,0.02631769268904376,2.228810710884545,0.026998920999679207,2.3085541426250633,0.025806771456067173,2.3658058372079998,0.030638186421441675,1.9417546414270817,0.026049530017751645,3.151913976085856,0.025709629543404233,4.223068522304098,0.021290923376887903,5.343283582089578,0.023330326222972365,6.635210439360428
0.03636581027091659,1.4518234272589816,0.0341518182613514,2.0161615595764966,0.03244874748476277,2.224721304128621,0.03432212533901026,2.2983306257352534,0.03210813332944505,2.3474035068063417,0.03879579780577952,1.9417546414270834,0.03437709163926318,3.143737223824642,0.032507639030352434,4.2312452745653,0.027239181677967576,5.335106829828369,0.029278584524052038,6.635210439360428
0.04198594383365903,1.451823427258982,0.04181563675600017,2.0161615595764966,0.039942258901752695,2.2185871939947353,0.040453180134729275,2.2881071088454434,0.03738765273686977,2.3351352865385695,0.04508395658120659,1.941754641427087,0.04253470302360103,3.135560471563437,0.03692634519686876,4.2312452745653,0.031487937607310196,5.326930077567161,0.03862584756860582,6.643387191621635
0.05016068356128439,1.4559128340149061,0.04709515616342487,2.012072152820572,0.047435770318742604,2.212453083860849,0.04692484908576601,2.2778835919556335,0.044710857076200816,2.3167329561369114,0.05358146843989185,1.9335778891658784,0.05018246369641775,3.135560471563439,0.04321450397229584,4.223068522304091,0.04083520065186398,5.326930077567161,0.04712335942729105,6.643387191621635
0.06020880114315723,1.4559128340149066,0.05544020296870911,2.0161615595764966,0.05492928173573251,2.206318973726963,0.0523746755708496,2.2656153716878613,0.047776384474060324,2.2983306257352534,0.06003957745249264,1.9335778891658801,0.05766027413206076,3.135560471563439,0.04950266274772293,4.214891770042884,0.04746325990163848,5.318753325305952,0.05392136891423925,6.643387191621633
0.06651016301653512,1.460002240770831,0.06310402146335788,2.012072152820572,0.06276340730804016,2.2001848635930767,0.05748388790061544,2.2615259649319372,0.051693447260214145,2.2901518122234052,0.06734743765096195,1.9335778891658748,0.06496813433053007,3.135560471563437,0.05664057270901854,4.214891770042884,0.055790821523150014,5.31875332530595,0.05952972674097151,6.643387191621633
0.07366306027820729,1.462046944148791,0.07076783995800666,2.012072152820572,0.07008661164737119,2.1981401602151154,0.06378524977399332,2.2472130412862033,0.05526989589105025,2.2819729987115576,0.07210604429182568,1.9254011369046697,0.07210604429182568,3.1192069670410234,0.06241888077292451,4.214891770042884,0.0656479352792249,5.310576573044745,0.06717748741378825,6.635210439360428
0.07902773322446142,1.4600022407708306,0.07902773322446142,2.012072152820572,0.07621766644309022,2.196095456837153,0.07042722580268894,2.2369895243963933,0.059357265754862915,2.2778835919556335,0.07890405377877387,1.9417546414270852,0.07890405377877388,3.119206967041025,0.07074644239443606,4.198538265520471,0.07499519832377868,5.302399820783535,0.07414544713791014,6.635210439360428
,,,,0.07894257968563198,2.194050753459191,0.07553643813245478,2.2329001176404693,0.06378524977399332,2.2615259649319372,,,,,0.0758449495096472,4.198538265520469,0.0787341035416002,5.3023998207835366,0.07881907866018702,6.635210439360428
,,,,,,0.078942579685632,2.2329001176404693,0.067872619637806,2.249257744664165,,,,,0.0787341035416002,4.198538265520469,,,,
,,,,,,,,0.07400367443352501,2.2369895243963933,,,,,,,,,,
,,,,,,,,0.07894257968563198,2.2329001176404693,,,,,,,,,,
