"Wavelength, µm","n","k"
2.893,1.089,18.76
2.906,1.098,18.85
2.919,1.108,18.93
2.933,1.118,19.02
2.946,1.128,19.1
2.959,1.138,19.19
2.973,1.148,19.27
2.987,1.158,19.36
3.001,1.168,19.45
3.015,1.179,19.54
3.029,1.189,19.63
3.043,1.2,19.72
3.057,1.211,19.81
3.072,1.222,19.91
3.086,1.233,20
3.101,1.245,20.1
3.116,1.256,20.19
3.131,1.268,20.29
3.146,1.28,20.38
3.162,1.292,20.48
3.177,1.304,20.58
3.193,1.317,20.68
3.209,1.329,20.78
3.224,1.342,20.88
3.241,1.355,20.99
3.257,1.368,21.09
3.273,1.381,21.2
3.29,1.395,21.3
3.307,1.409,21.41
3.324,1.422,21.52
3.341,1.437,21.63
3.358,1.451,21.74
3.376,1.465,21.85
3.393,1.48,21.96
3.411,1.495,22.07
3.429,1.51,22.19
3.447,1.526,22.3
3.466,1.541,22.42
3.485,1.557,22.54
3.503,1.573,22.66
3.522,1.59,22.78
3.542,1.606,22.9
3.561,1.623,23.02
3.581,1.64,23.15
3.601,1.658,23.28
3.621,1.676,23.4
3.641,1.694,23.53
3.662,1.712,23.66
3.683,1.73,23.79
3.704,1.749,23.93
3.725,1.769,24.06
3.746,1.788,24.2
3.768,1.808,24.33
3.79,1.828,24.47
3.812,1.848,24.61
3.835,1.869,24.75
3.858,1.89,24.9
3.881,1.912,25.04
3.904,1.934,25.19
3.928,1.956,25.34
3.952,1.979,25.49
3.976,2.002,25.64
4.001,2.025,25.79
4.026,2.049,25.95
4.051,2.073,26.11
4.076,2.098,26.27
4.102,2.123,26.43
4.128,2.149,26.59
4.155,2.175,26.76
4.181,2.201,26.92
4.209,2.228,27.09
4.236,2.256,27.26
4.264,2.284,27.44
4.292,2.312,27.61
4.321,2.341,27.79
4.35,2.371,27.97
4.379,2.401,28.15
4.409,2.432,28.34
4.439,2.463,28.52
4.47,2.495,28.71
4.501,2.527,28.9
4.532,2.56,29.1
4.564,2.594,29.3
4.597,2.628,29.5
4.629,2.663,29.7
4.663,2.699,29.9
4.697,2.735,30.11
4.731,2.773,30.32
4.766,2.81,30.53
4.801,2.849,30.75
4.837,2.889,30.97
4.873,2.929,31.19
4.91,2.97,31.42
4.947,3.012,31.65
4.986,3.055,31.88
5.024,3.098,32.12
5.063,3.143,32.35
5.103,3.189,32.6
5.144,3.235,32.84
5.185,3.283,33.09
5.227,3.331,33.34
5.269,3.381,33.6
5.312,3.432,33.86
5.356,3.483,34.13
5.401,3.536,34.4
5.446,3.59,34.67
5.493,3.646,34.95
5.539,3.702,35.23
5.587,3.76,35.51
5.636,3.82,35.8
5.685,3.88,36.1
5.736,3.942,36.4
5.787,4.006,36.71
5.839,4.07,37.01
5.892,4.137,37.33
5.946,4.205,37.65
6.001,4.275,37.98
6.057,4.346,38.31
6.114,4.419,38.64
6.173,4.494,38.99
6.232,4.57,39.33
6.292,4.649,39.69
6.354,4.73,40.05
6.417,4.812,40.42
6.481,4.897,40.79
6.547,4.984,41.17
6.613,5.073,41.56
6.682,5.164,41.95
6.751,5.258,42.36
6.822,5.354,42.76
6.895,5.452,43.18
