"Wavelength, µm","n","k"
0.25,1.32067672,1.6846827
0.26,1.35508255,1.74843756
0.27,1.39869692,1.8036149
0.28,1.44819978,1.84743633
0.29,1.49980774,1.87816176
0.3,1.549358,1.89515625
0.31,1.59249629,1.89910863
0.32,1.62509791,1.89227573
0.33,1.64395789,1.87854973
0.34,1.6476369,1.86312232
0.35,1.63717909,1.85160411
0.36,1.61631128,1.84867341
0.37,1.59079984,1.85662377
0.38,1.56694762,1.87440619
0.39,1.54968043,1.8976963
0.4,1.54097638,1.92005902
0.41,1.5392115,1.93473286
0.42,1.53949095,1.93638477
0.43,1.53469612,1.92241927
0.44,1.51697813,1.89366572
0.45,1.47963042,1.8541867
0.46,1.41692677,1.80810581
0.47,1.32145772,1.76614969
0.48,1.19431022,1.74252537
0.49,1.04285462,1.75015988
0.5,0.880870269,1.79799722
0.51,0.725886432,1.88658879
0.52,0.592474964,2.0068712
0.53,0.486963985,2.1451468
0.54,0.408187403,2.289338
0.55,0.351286818,2.43155133
0.56,0.310641814,2.56767434
0.57,0.281228915,2.69618702
0.58,0.25906084,2.81714449
0.59,0.241234417,2.93146343
0.6,0.225824859,3.04043777
0.61,0.211715866,3.14541315
0.62,0.198404096,3.24757983
0.63,0.185803171,3.34786004
0.64,0.174067789,3.44686865
0.65,0.163452823,3.54492155
0.66,0.15421503,3.64204726
0.67,0.146286397,3.73788148
0.68,0.139186236,3.83271676
0.69,0.133069066,3.92680361
0.7,0.128023452,4.02013923
0.71,0.124055758,4.11266457
0.72,0.121114182,4.20431539
0.73,0.119110689,4.29504316
0.74,0.117938746,4.38482221
0.75,0.117486435,4.47364997
0.76,0.117645311,4.56154383
0.77,0.118315799,4.64853662
0.78,0.119409948,4.734672
0.79,0.120852341,4.82000033
0.8,0.122579806,4.90457529
0.81,0.12454042,4.98845128
0.82,0.126692166,5.07168155
0.83,0.12900148,5.154317
0.84,0.131441842,5.23640537
0.85,0.133992485,5.31799094
0.86,0.136637272,5.39911433
0.87,0.139363745,5.47981263
0.88,0.142162335,5.5601195
0.89,0.145025725,5.64006546
0.9,0.147948339,5.71967816
0.91,0.150925943,5.7989826
0.92,0.153955326,5.87800145
0.93,0.157034059,5.95675528
0.94,0.16016031,6.0352628
0.95,0.163332697,6.11354106
0.96,0.166550183,6.19160563
0.97,0.169811989,6.26947079
0.98,0.173117538,6.34714966
0.99,0.176466402,6.4246543
1,0.179858269,6.50199588
1.01,0.183292917,6.57918472
1.02,0.186770194,6.65623041
1.03,0.190290001,6.73314187
1.04,0.19385228,6.80992743
1.05,0.19745701,6.88659486
1.06,0.201104196,6.96315145
1.07,0.204793866,7.03960403
1.08,0.208526064,7.11595903
1.09,0.212300852,7.1922225
1.1,0.216118306,7.26840015
1.11,0.219978511,7.34449738
1.12,0.223881564,7.42051928
1.13,0.22782757,7.49647071
1.14,0.231816642,7.57235625
1.15,0.235848901,7.64818026
1.16,0.239924474,7.7239469
1.17,0.244043495,7.79966012
1.18,0.248206103,7.87532369
1.19,0.252412443,7.95094122
1.2,0.256662666,8.02651614
1.21,0.260956926,8.10205175
1.22,0.265295384,8.17755121
1.23,0.269678203,8.25301754
1.24,0.274105553,8.32845365
1.25,0.278577607,8.40386232
1.26,0.283094541,8.47924624
1.27,0.287656538,8.55460799
1.28,0.292263781,8.62995005
1.29,0.296916461,8.70527482
1.3,0.301614769,8.78058462
1.31,0.306358903,8.85588167
1.32,0.311149062,8.93116814
1.33,0.315985449,9.00644611
1.34,0.320868272,9.08171761
1.35,0.325797742,9.15698459
1.36,0.330774071,9.23224894
1.37,0.335797479,9.30751251
1.38,0.340868185,9.38277709
1.39,0.345986414,9.45804441
1.4,0.351152393,9.53331615
1.41,0.356366352,9.60859395
1.42,0.361628527,9.68387942
1.43,0.366939154,9.7591741
1.44,0.372298474,9.83447952
1.45,0.377706731,9.90979714
1.46,0.383164172,9.98512842
1.47,0.388671047,10.0604748
1.48,0.394227611,10.1358375
1.49,0.399834119,10.2112181
1.5,0.405490833,10.2866177
1.51,0.411198015,10.3620378
1.52,0.416955933,10.4374794
1.53,0.422764857,10.512944
1.54,0.428625059,10.5884326
1.55,0.434536816,10.6639465
1.56,0.440500409,10.7394868
1.57,0.44651612,10.8150547
1.58,0.452584236,10.8906513
1.59,0.458705047,10.9662777
1.6,0.464878846,11.0419349
1.61,0.47110593,11.1176242
1.62,0.477386599,11.1933464
1.63,0.483721157,11.2691026
1.64,0.49010991,11.3448939
1.65,0.496553168,11.4207213
1.66,0.503051246,11.4965857
1.67,0.509604461,11.572488
1.68,0.516213134,11.6484294
1.69,0.522877588,11.7244107
1.7,0.529598154,11.8004328
1.71,0.53637516,11.8764967
1.72,0.543208944,11.9526033
1.73,0.550099844,12.0287535
1.74,0.557048203,12.1049481
1.75,0.564054366,12.1811882
1.76,0.571118684,12.2574745
1.77,0.578241511,12.3338079
1.78,0.585423204,12.4101892
1.79,0.592664125,12.4866194
1.8,0.599964638,12.5630992
1.81,0.607325113,12.6396295
1.82,0.614745924,12.7162111
1.83,0.622227447,12.7928448
1.84,0.629770063,12.8695315
1.85,0.637374157,12.9462719
1.86,0.645040119,13.0230669
1.87,0.652768341,13.0999172
1.88,0.660559222,13.1768237
1.89,0.668413162,13.253787
1.9,0.676330567,13.330808
1.91,0.684311848,13.4078875
1.92,0.692357419,13.4850263
1.93,0.700467698,13.562225
1.94,0.708643108,13.6394845
1.95,0.716884077,13.7168055
1.96,0.725191037,13.7941888
1.97,0.733564424,13.8716351
1.98,0.742004679,13.9491451
1.99,0.750512247,14.0267197
2,0.759087579,14.1043595
