"Wavelength, µm","n","k"
0.3,1.03265225,1.47591683
0.31,1.08524054,1.46229826
0.32,1.08354504,1.45253483
0.33,1.05574178,1.47554626
0.34,1.0324614,1.52804546
0.35,1.02569812,1.59251762
0.36,1.03313948,1.65582869
0.37,1.04905367,1.71258044
0.38,1.06909806,1.76149586
0.39,1.09062279,1.80248321
0.4,1.11186152,1.8354667
0.41,1.13125601,1.86013157
0.42,1.14702794,1.87598198
0.43,1.15687699,1.8825106
0.44,1.15772094,1.87947468
0.45,1.14547046,1.86735364
0.46,1.11492898,1.84810471
0.47,1.06007827,1.82633726
0.48,0.975326527,1.81087472
0.49,0.85869012,1.81597106
0.5,0.71733771,1.85960044
0.51,0.57163386,1.95507331
0.52,0.448713039,2.0997243
0.53,0.367667386,2.27488676
0.54,0.333143144,2.4573873
0.55,0.340122601,2.62564303
0.56,0.363549768,2.76461828
0.57,0.38959492,2.88783698
0.58,0.417474836,3.00088513
0.59,0.446784921,3.10632491
0.6,0.477248056,3.20564914
0.61,0.508647675,3.29982985
0.62,0.540801625,3.3895475
0.63,0.573550125,3.47530492
0.64,0.606749649,3.5574904
0.65,0.640269581,3.63641514
0.66,0.673990285,3.71233665
0.67,0.707801903,3.785474
0.68,0.741603555,3.856018
0.69,0.775302761,3.92413821
0.7,0.808814977,3.98998782
0.71,0.842063186,4.05370708
0.72,0.874977536,4.11542586
0.73,0.907494981,4.17526541
0.74,0.939558931,4.2333397
0.75,0.971118912,4.28975641
0.76,1.00213022,4.34461768
0.77,1.0325536,4.39802063
0.78,1.06235487,4.45005786
0.79,1.09150467,4.5008177
0.8,1.11997807,4.55038456
0.81,1.1477543,4.59883907
0.82,1.17481647,4.64625832
0.83,1.20115122,4.69271597
0.84,1.22674854,4.7382824
0.85,1.25160141,4.78302486
0.86,1.27570565,4.8270075
0.87,1.2990596,4.87029155
0.88,1.32166396,4.91293537
0.89,1.34352155,4.95499456
0.9,1.36463713,4.99652205
0.91,1.3850172,5.03756817
0.92,1.40466985,5.07818076
0.93,1.42360458,5.11840523
0.94,1.44183217,5.15828466
0.95,1.45936451,5.19785985
0.96,1.4762145,5.23716946
0.97,1.49239592,5.27625
0.98,1.50792331,5.315136
0.99,1.52281187,5.35386002
1,1.53707738,5.39245272
1.01,1.55073608,5.43094301
1.02,1.56380461,5.46935801
1.03,1.57629995,5.50772322
1.04,1.58823929,5.54606251
1.05,1.59964005,5.58439823
1.06,1.61051975,5.62275126
1.07,1.62089597,5.66114108
1.08,1.63078635,5.69958583
1.09,1.64020849,5.73810234
1.1,1.64917991,5.77670622
1.11,1.65771806,5.81541193
1.12,1.66584022,5.85423278
1.13,1.67356354,5.89318104
1.14,1.68090495,5.93226793
1.15,1.68788117,5.97150373
1.16,1.69450868,6.01089779
1.17,1.70080369,6.05045859
1.18,1.70678215,6.09019378
1.19,1.71245969,6.13011023
1.2,1.71785164,6.17021404
1.21,1.72297303,6.21051064
1.22,1.72783854,6.25100477
1.23,1.7324625,6.29170054
1.24,1.73685894,6.33260148
1.25,1.74104148,6.37371055
1.26,1.74502345,6.41503019
1.27,1.74881776,6.45656235
1.28,1.75243701,6.4983085
1.29,1.75589341,6.54026968
1.3,1.75919882,6.58244654
1.31,1.76236475,6.62483933
1.32,1.76540235,6.66744796
1.33,1.7683224,6.71027199
1.34,1.77113534,6.7533107
1.35,1.77385127,6.79656306
1.36,1.77647994,6.84002779
1.37,1.77903076,6.88370338
1.38,1.7815128,6.92758808
1.39,1.78393483,6.97167992
1.4,1.78630527,7.01597678
1.41,1.78863223,7.06047634
1.42,1.79092352,7.10517613
1.43,1.79318666,7.15007355
1.44,1.79542885,7.19516586
1.45,1.79765701,7.24045022
1.46,1.79987778,7.28592366
1.47,1.80209754,7.33158316
1.48,1.80432239,7.37742559
1.49,1.80655818,7.42344776
1.5,1.80881049,7.46964644
1.51,1.81108468,7.51601831
1.52,1.81338587,7.56256005
1.53,1.81571893,7.60926829
1.54,1.81808852,7.65613962
1.55,1.82049911,7.70317063
1.56,1.82295492,7.7503579
1.57,1.82546,7.79769799
1.58,1.82801819,7.84518746
1.59,1.83063316,7.89282287
1.6,1.83330837,7.94060081
1.61,1.83604714,7.98851787
1.62,1.8388526,8.03657064
1.63,1.84172772,8.08475576
1.64,1.84467534,8.13306988
1.65,1.84769811,8.18150966
1.66,1.85079857,8.23007182
1.67,1.8539791,8.27875309
1.68,1.85724197,8.32755025
1.69,1.8605893,8.3764601
1.7,1.8640231,8.42547949
1.71,1.86754526,8.47460531
1.72,1.87115756,8.52383447
1.73,1.87486168,8.57316395
1.74,1.87865918,8.62259076
1.75,1.88255152,8.67211194
1.76,1.8865401,8.72172461
1.77,1.89062618,8.77142591
1.78,1.89481098,8.82121302
1.79,1.89909561,8.87108318
1.8,1.90348111,8.92103367
1.81,1.90796843,8.97106183
1.82,1.91255848,9.02116503
1.83,1.91725207,9.07134069
1.84,1.92204997,9.12158627
1.85,1.92695286,9.17189929
1.86,1.93196139,9.22227732
1.87,1.93707613,9.27271796
1.88,1.94229761,9.32321885
1.89,1.94762631,9.37377771
1.9,1.95306264,9.42439225
1.91,1.958607,9.47506028
1.92,1.9642597,9.52577962
1.93,1.97002106,9.57654815
1.94,1.97589132,9.62736376
1.95,1.98187069,9.67822443
1.96,1.98795937,9.72912814
1.97,1.99415749,9.78007294
1.98,2.00046516,9.8310569
1.99,2.00688248,9.88207814
2,2.01340949,9.93313482
